,0.19047619047619047,0.16666666666666666,0.17777777777777778
Obj,0.4297520661157025,0.19771863117870722,0.2708333333333333
Res,0.4510086455331412,0.508667388949079,0.47810590631364563
Goa,0.35,0.21052631578947367,0.2629107981220657
Hyp,0.2287390029325513,0.17687074829931973,0.19948849104859337
Bac,0.49240986717267554,0.6145648312611013,0.5467474321833027
Exp,0.6563981042654028,0.6231721034870641,0.6393537218695903
Obs,0.4861351819757366,0.4730185497470489,0.4794871794871795
Con,0.5652951699463328,0.34310532030401736,0.427027027027027
Mot,0.24615384615384617,0.13114754098360656,0.17112299465240643
Met,0.2661596958174905,0.33613445378151263,0.2970822281167109
Mod,0.5535248041775457,0.5047619047619047,0.5280199252801993
Classifier Accuracy,46.540335679480236,53.459664320519764
